id,createdAt,username,suspend,twitterId,tweetscout_score
clpuje57d001crfqnbg86zob5,2023-12-07T01:46:02.329Z,greeny_eth,False,994404102,782.5017571865254
clpujen4i004q9tywfchhacdx,2023-12-07T01:46:25.554Z,manwilhach25833,False,1732576800390160384,0.0
clpujf6es00519tywrv2q15d3,2023-12-07T01:46:50.548Z,es_rty67489,True,1732577158302687232,0.0
clpujh87d002wbunka1qoribj,2023-12-07T01:48:26.186Z,keen2climb,False,1386441886257360896,679.1266450375806
clpujhkde008y13ltb5atc9ox,2023-12-07T01:48:41.955Z,samwongz,False,21403928,65.45227268781429
clpujiacg008p12n6edgb12xh,2023-12-07T01:49:15.616Z,eses58980065048,False,1732577780296982528,0.0
clpujmkah007l9tywyu64h7cd,2023-12-07T01:52:35.130Z,es_tyu18346,False,1732578634567753728,0.0
clpujqtct005qgc0idofvfca5,2023-12-07T01:55:53.501Z,UQ_sol,False,879947856769101824,216.4948036327893
clpujr4ll00lc5ekxwee60tew,2023-12-07T01:56:08.074Z,nabcip89744,False,1708260768846692352,0.0
clpujr5ac007n68dpzpepw4hq,2023-12-07T01:56:08.965Z,zetzos1825,True,1708252592734617600,0.0
clpujsczv001tm19ez29zjtuw,2023-12-07T01:57:05.611Z,mtradesol,False,1463531833493057542,48.92851929090027
clpujsecc001012mzerq5pfz5,2023-12-07T01:57:07.356Z,bozmiu91959,False,1708219737782546432,0.0
clpujsfpr00mfww5e9mf70vgo,2023-12-07T01:57:09.136Z,funmua47273,True,1708247153481568256,0.0
clpujsm9c000ue10t1cszknc1,2023-12-07T01:57:17.616Z,IamZuggie,False,1491568452036968450,161.42800252744254
clpujui1j00ax12n66eosk15z,2023-12-07T01:58:45.464Z,SKN3SL,False,1432510601259937792,168.94377763031108
clpujwnz6007agc0i14xhihgj,2023-12-07T02:00:26.467Z,zenji111,False,1425832965150367759,0.0
clpujzpp800nh5ekx5xxu496y,2023-12-07T02:02:48.669Z,Silvio_GA,False,3238947169,0.0
clpuk09qh008e107zw07fli5d,2023-12-07T02:03:14.634Z,ManuAlba_art,False,1457409741358047232,55.83009940883144
clpuk5i40004hpw75bpp7uzo4,2023-12-07T02:07:18.768Z,SXEIxNFT,False,975110459052494849,150.08997301618786
clpuk5o9l007ogaoency7cqha,2023-12-07T02:07:26.745Z,1234_Nft_,True,1370060806428188674,62.32976816898969
clpuk691i006kxud7tzongy8q,2023-12-07T02:07:53.670Z,tito1999LOOOL,True,1732581189733466113,0.0
clpuk8x4100agylh6bg69hiq0,2023-12-07T02:09:58.177Z,jakefeigs,False,141222602,270.8708179188005
clpuk91f700dr9tywa6nrg1v1,2023-12-07T02:10:03.763Z,crypto_thunders,False,1326869893392707587,2.6457513110645907
clpukesi900ffk4nxtabyqv82,2023-12-07T02:14:32.145Z,trill_sol,False,1321809259324198917,140.66627172140448
clpukf67p002610muny03n9ok,2023-12-07T02:14:49.909Z,hkma_sol,False,3255695095,136.31947769852994
clpukfxi50030w56v7sh59i24,2023-12-07T02:15:25.278Z,xNFTpat,False,1456443010032578581,294.8728539557346
clpukiiee003h10mu8500372n,2023-12-07T02:17:25.670Z,SkinnyManni,True,1530148463618379776,0.0
clpukk4rh00hek4nxfkwzauw6,2023-12-07T02:18:41.309Z,movakshokovic,False,144267018,395.31632903283923
clpuknlxv002cmqbpfhbycxnj,2023-12-07T02:21:23.539Z,BadgerIsOP,False,301510016,0.0
clpukoeq8003x9s3c0d55yvhm,2023-12-07T02:22:00.848Z,itsmysidehustle,False,1435792627891384324,103.67256146155549
clpukozk600gw13lty207qzy3,2023-12-07T02:22:27.846Z,ANDERSON242541,True,1732585295231516673,0.0
clpukpjat00u5ww5enegrj0r7,2023-12-07T02:22:53.430Z,hmdFX,False,1398749126,202.40553352119602
clpukqhon00x65ekx6agi093w,2023-12-07T02:23:37.992Z,hyhy2330,False,1486034681112199168,34.351128074635334
clpukqirw005d10muqlvkd9lm,2023-12-07T02:23:39.404Z,_1WhoKnocks,False,115755532,205.55048041782825
clpukqkm600cnrfqnmr8j0qhy,2023-12-07T02:23:41.790Z,LINK_GMI,False,1375669013007663109,129.97692102831178
clpukqq8n006sw4jaqx10r4gk,2023-12-07T02:23:49.080Z,0xLibra_,False,1490261008128311298,121.75795661885921
